Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM,Is_New_Value
1.263,1765494342.2631593,17:05:42,14.80,True
2.263,1765494343.2627692,17:05:43,nan,True
3.263,1765494344.2627552,17:05:44,nan,True
4.263,1765494345.2627382,17:05:45,nan,True
5.263,1765494346.2627423,17:05:46,nan,True
6.263,1765494347.262732,17:05:47,nan,True
7.263,1765494348.262732,17:05:48,nan,True
8.263,1765494349.2627306,17:05:49,nan,True
9.263,1765494350.2627282,17:05:50,nan,True
10.263,1765494351.2627301,17:05:51,nan,True
11.263,1765494352.2627516,17:05:52,10.03,True
12.263,1765494353.2627501,17:05:53,nan,True
13.263,1765494354.2627354,17:05:54,nan,True
14.263,1765494355.262732,17:05:55,nan,True
15.263,1765494356.262734,17:05:56,nan,True
16.263,1765494357.2627313,17:05:57,nan,True
17.263,1765494358.2627306,17:05:58,nan,True
18.263,1765494359.2627642,17:05:59,nan,True
19.263,1765494360.2627428,17:06:00,nan,True
20.263,1765494361.2627358,17:06:01,nan,True
21.263,1765494362.2627318,17:06:02,11.13,True
22.263,1765494363.2627287,17:06:03,nan,True
23.263,1765494364.26273,17:06:04,nan,True
24.263,1765494365.2627418,17:06:05,nan,True
25.263,1765494366.2627583,17:06:06,nan,True
26.263,1765494367.2627842,17:06:07,nan,True
27.263,1765494368.2627625,17:06:08,nan,True
28.263,1765494369.2627327,17:06:09,nan,True
29.263,1765494370.2627378,17:06:10,nan,True
30.263,1765494371.2627313,17:06:11,nan,True
31.263,1765494372.2627301,17:06:12,19.99,True
32.263,1765494373.262733,17:06:13,nan,True
33.263,1765494374.26277,17:06:14,nan,True
34.263,1765494375.262749,17:06:15,nan,True
35.263,1765494376.2627583,17:06:16,nan,True
36.263,1765494377.262755,17:06:17,nan,True
37.263,1765494378.2627554,17:06:18,nan,True
38.263,1765494379.2627494,17:06:19,nan,True
39.263,1765494380.2627594,17:06:20,nan,True
40.263,1765494381.262763,17:06:21,nan,True
41.263,1765494382.2627335,17:06:22,20.23,True
42.263,1765494383.2627354,17:06:23,nan,True
43.263,1765494384.2627325,17:06:24,nan,True
44.263,1765494385.2627287,17:06:25,nan,True
45.263,1765494386.262731,17:06:26,nan,True
46.263,1765494387.2627392,17:06:27,nan,True
47.263,1765494388.262763,17:06:28,nan,True
48.263,1765494389.2627366,17:06:29,nan,True
49.263,1765494390.2627318,17:06:30,nan,True
50.263,1765494391.2627318,17:06:31,nan,True
51.263,1765494392.262739,17:06:32,18.14,True
52.263,1765494393.2627342,17:06:33,nan,True
53.263,1765494394.2627523,17:06:34,nan,True
54.263,1765494395.2627943,17:06:35,nan,True
55.265,1765494396.2645986,17:06:36,nan,True
56.263,1765494397.2627745,17:06:37,nan,True
57.263,1765494398.2627378,17:06:38,nan,True
58.263,1765494399.2627325,17:06:39,nan,True
59.263,1765494400.2627301,17:06:40,nan,True
60.263,1765494401.262731,17:06:41,nan,True
61.263,1765494402.2627306,17:06:42,19.33,True
62.263,1765494403.2627459,17:06:43,nan,True
63.263,1765494404.2627413,17:06:44,nan,True
64.263,1765494405.2627463,17:06:45,nan,True
65.263,1765494406.2627454,17:06:46,nan,True
66.263,1765494407.2627454,17:06:47,nan,True
67.263,1765494408.262755,17:06:48,nan,True
68.263,1765494409.2627606,17:06:49,nan,True
69.263,1765494410.2627366,17:06:50,nan,True
70.263,1765494411.2627318,17:06:51,nan,True
71.263,1765494412.262734,17:06:52,19.29,True
72.263,1765494413.2627313,17:06:53,nan,True
73.263,1765494414.2627277,17:06:54,nan,True
74.263,1765494415.2627578,17:06:55,nan,True
75.263,1765494416.2627501,17:06:56,nan,True
76.263,1765494417.2627501,17:06:57,nan,True
77.263,1765494418.2627602,17:06:58,nan,True
78.263,1765494419.2627347,17:06:59,nan,True
79.263,1765494420.2627323,17:07:00,nan,True
80.263,1765494421.2627327,17:07:01,nan,True
81.263,1765494422.2627318,17:07:02,20.46,True
